supervoxel_id	root_id	pos_x	pos_y	pos_z	soma_x	soma_y	soma_z	nucleus_id	flow	super_class	cell_class	cell_sub_class	supertype	cell_type	hemibrain_type	ito_lee_hemilineage	hartenstein_hemilineage	top_nt	top_nt_conf	known_nt	known_nt_source	side	nerve	vfb_id	fbbt_id	status	dimorphism	matching_notes	fru_dsx	synonyms
76565936114967188	720575940621898861	86816.0	77160.0	6450.0	86816.0	77160.0	6450.0	1959106.0	intrinsic	optic	LOP>LO			Tlp14				glutamate	0.6098408690942557	glutamate	Nern et al., 2024 (EASI-FISH)	left		fw058416			isomorphic			
82547553778308891	720575940623001468	173560.0	81352.0	2925.0	173560.0	81352.0	2925.0	7461446.0	intrinsic	optic	ME	tangential		Sm20				acetylcholine	0.9332363108513888			right		fw058446			isomorphic			
82266353746459449	720575940644708000	168896.0	84792.0	3347.0	168896.0	84792.0	3347.0	7213047.0	intrinsic	optic	ME>LO			MLt6				acetylcholine	0.8870372532626835			right		fw058682			isomorphic			
76777523115075715	720575940637498254	89376.0	83888.0	4354.0	89376.0	83888.0	4354.0	1967410.0	intrinsic	optic	ME>LO			MLt6				acetylcholine	0.8996718031205605			left		fw058758			isomorphic			
76847960645773239	720575940626598602	90888.0	84880.0	4736.0	90888.0	84880.0	4736.0	2154072.0	intrinsic	optic	ME>LO			MLt6				acetylcholine	0.9156796642132462			left		fw058808			isomorphic			
76706948145445032	720575940622315647	88856.0	81440.0	3903.0	88856.0	81440.0	3903.0	1952855.0	intrinsic	optic	ME	tangential		Sm20				acetylcholine	0.9150354238915344			left		fw058825			isomorphic			
82266422465880181	720575940617988381	169280.0	86600.0	3343.0	169280.0	86600.0	3343.0	7213223.0	intrinsic	optic	ME>LO			MLt6				acetylcholine	0.8743300490586249			right		fw058876			isomorphic			
76566210657349497	720575940624488445	86624.0	81528.0	3939.0	86624.0	81528.0	3939.0	1951661.0	intrinsic	optic	ME	tangential		Sm20				acetylcholine	0.9087504742639956			left		fw058879			isomorphic			
76636579401264590	720575940633117644	87240.0	80616.0	3828.0	87240.0	80616.0	3828.0	1951895.0	intrinsic	optic	ME	tangential		Sm20				acetylcholine	0.9114346431927569			left		fw058915			isomorphic			
82617853802919522	720575940627331673	174504.0	80216.0	2881.0	174504.0	80216.0	2881.0	7462158.0	intrinsic	optic	ME	tangential		Sm20				acetylcholine	0.8934032417004815			right		fw058948			isomorphic			
76988423189117236	720575940625930277	92112.0	80808.0	4188.0	92112.0	80808.0	4188.0	2142110.0	intrinsic	optic	ME>LO			MLt6				acetylcholine	0.902129941416862			left		fw058978			isomorphic			
76496391803070995	720575940637478256	85808.0	89360.0	4944.0	85808.0	89360.0	4944.0	1965724.0	intrinsic	optic	ME>LO			MLt6				acetylcholine	0.8152768587609618			left		fw059098			isomorphic			
82336928715909285	720575940645148872	170288.0	87904.0	3702.0	170288.0	87904.0	3702.0	7214663.0	intrinsic	optic	ME>LO			MLt6				acetylcholine	0.8681597225172896			right		fw059193			isomorphic			
76566691760428396	720575940621949360	86624.0	87912.0	4601.0	86624.0	87912.0	4601.0	1966190.0	intrinsic	optic	ME>LO			MLt6				acetylcholine	0.8506490780672034			left		fw059282			isomorphic			
76566485601960325	720575940623016993	86128.0	85232.0	4147.0	86128.0	85232.0	4147.0	1965921.0	intrinsic	optic	ME	tangential		Sm20				acetylcholine	0.9272257150346962			left		fw059287			isomorphic			
76636510681925167	720575940625525180	87552.0	80016.0	3857.0	87552.0	80016.0	3857.0	1951998.0	intrinsic	optic	ME	tangential		Sm20				acetylcholine	0.917105700973123			left		fw059298			isomorphic			
76495635754522527	720575940634026157	85664.0	77560.0	3750.0	85664.0	77560.0	3750.0	1951184.0	intrinsic	optic	ME	tangential		Sm20				acetylcholine	0.877059579132166			left		fw059393			isomorphic			
82125616258253454	720575940632539276	166848.0	85552.0	3499.0	166848.0	85552.0	3499.0	7212124.0	intrinsic	optic	ME>LO			MLt6				acetylcholine	0.8637706616801594			right		fw059403			isomorphic			
76495636089964502	720575940633104967	85816.0	78376.0	6238.0	85816.0	78376.0	6238.0	1958224.0	intrinsic	optic	LOP>LO			Tlp14				glutamate	0.5421229791728264	glutamate	Nern et al., 2024 (EASI-FISH)	left		fw059453			isomorphic			
82547966161816083	720575940629763075	173904.0	87408.0	3115.0	173904.0	87408.0	3115.0	7481845.0	intrinsic	optic	ME	tangential		Sm20				acetylcholine	0.886349650970112			right		fw059478			isomorphic			
82617922522520569	720575940617020870	174192.0	81336.0	2957.0	174192.0	81336.0	2957.0	7461973.0	intrinsic	optic	ME	tangential		Sm20				acetylcholine	0.9186625981479789			right		fw059509			isomorphic			
82407228673629475	720575940617244603	171352.0	86704.0	3258.0	171352.0	86704.0	3258.0	7215375.0	intrinsic	optic	ME>LO			MLt6				acetylcholine	0.8811682270677631			right		fw059529			isomorphic			
76141593345804287	720575940633117900	80152.0	45680.0	6234.0	80152.0	45680.0	6234.0	1506187.0	intrinsic	optic	LOP>LO			Tlp14				gaba	0.5003927592521196	glutamate	Nern et al., 2024 (EASI-FISH)	left		fw059633			isomorphic			
76918054445492127	720575940638892521	91880.0	81376.0	4516.0	91880.0	81376.0	4516.0	2142034.0	intrinsic	optic	ME	tangential		Sm20				acetylcholine	0.9335406611759043			left		fw059669			isomorphic			
82688359986083105	720575940641515728	175032.0	82512.0	2911.0	175032.0	82512.0	2911.0	7478696.0	intrinsic	optic	ME	tangential		Sm20				acetylcholine	0.8832970892831999			right		fw059684			isomorphic			
76073217533502852	720575940614925265	79632.0	74680.0	6698.0	79632.0	74680.0	6698.0	1569356.0	intrinsic	optic	LOP>LO			Tlp14				glutamate	0.5370435760608034	glutamate	Nern et al., 2024 (EASI-FISH)	left		fw059735			isomorphic			
81772673160111028	720575940621365440	162432.0	68584.0	4586.0	162432.0	68584.0	4586.0	6893551.0	intrinsic	optic	LO>ME	tangential		LMt2				glutamate	0.574353263972989			right		fw059744			isomorphic			
77691286131622386	720575940632768360	102376.0	69192.0	5316.0	102376.0	69192.0	5316.0	2577338.0	intrinsic	optic	LO>ME	tangential		LMt2				glutamate	0.5701403772056131			left		fw059753			isomorphic			
76354692443502782	720575940627657341	83064.0	75256.0	6506.0	83064.0	75256.0	6506.0	1956590.0	intrinsic	optic	LOP>LO			Tlp14				glutamate	0.5391755125540604	glutamate	Nern et al., 2024 (EASI-FISH)	left		fw059777			isomorphic			
77691492290235316	720575940610133461	103072.0	71424.0	5451.0	103072.0	71424.0	5451.0	2578266.0	intrinsic	optic	LO>ME	tangential		LMt2				glutamate	0.5172965412419595			left		fw059805			isomorphic			
81632416708029087	720575940614370531	159832.0	76368.0	4553.0	159832.0	76368.0	4553.0	6921148.0	intrinsic	optic	LO>ME	tangential		LMt2				glutamate	0.5903159432595813			right		fw059816			isomorphic			
82195985002472107	720575940622333353	167936.0	84712.0	3484.0	167936.0	84712.0	3484.0	7212721.0	intrinsic	optic	ME>LO			MLt6				acetylcholine	0.9346471730522622			right		fw059822			isomorphic			
82547691217326646	720575940623088678	173912.0	82888.0	2995.0	173912.0	82888.0	2995.0	7478113.0	intrinsic	optic	ME	tangential		Sm20				acetylcholine	0.861484697425628			right		fw059828			isomorphic			
76566004498579483	720575940617939929	86864.0	77672.0	3653.0	86864.0	77672.0	3653.0	1951732.0	intrinsic	optic	ME	tangential		Sm20				acetylcholine	0.8382767746779315			left		fw059873			isomorphic			
81773222982778932	720575940614701743	162000.0	76600.0	4921.0	162000.0	76600.0	4921.0	6922009.0	intrinsic	optic	LO>ME	tangential		LMt2				glutamate	0.6124711128968445			right		fw059903			isomorphic			
83109954378202293	720575940646234676	181896.0	72944.0	5759.0	181896.0	72944.0	5759.0	7694742.0	intrinsic	optic	LOP>LO			Tlp14				glutamate	0.6208643602811554	glutamate	Nern et al., 2024 (EASI-FISH)	right		fw059928			isomorphic			
76706673267585708	720575940638904154	88624.0	77136.0	3741.0	88624.0	77136.0	3741.0	1952519.0	intrinsic	optic	ME			MTe54				acetylcholine	0.8434190693911744			left		fw059953			isomorphic			
82618128680999471	720575940627923728	174904.0	83800.0	2986.0	174904.0	83800.0	2986.0	7478614.0	intrinsic	optic	ME	tangential		Sm20				acetylcholine	0.9190539995139775			right		fw059961			isomorphic			
83110572786653816	720575940616052597	181896.0	82504.0	5425.0	181896.0	82504.0	5425.0	7739266.0	intrinsic	optic	LOP>LO			Tlp14				glutamate	0.6536497133469467	glutamate	Nern et al., 2024 (EASI-FISH)	right		fw059983			isomorphic			
77620917387621922	720575940646993972	102312.0	68400.0	5486.0	102312.0	68400.0	5486.0	2577266.0	intrinsic	optic	LO>ME	tangential		LMt2				glutamate	0.6271694266035267			left		fw059995			isomorphic			
81702579360415179	720575940640124880	161232.0	72480.0	4722.0	161232.0	72480.0	4722.0	6892811.0	intrinsic	optic	LO>ME	tangential		LMt2				glutamate	0.6465246037497469			right		fw060012			isomorphic			
76566210657256405	720575940633138771	86536.0	80680.0	3867.0	86536.0	80680.0	3867.0	1951609.0	intrinsic	optic	ME	tangential		Sm20				acetylcholine	0.9025568187459675			left		fw060030			isomorphic			
81702579360770838	720575940644576968	161680.0	73256.0	4984.0	161680.0	73256.0	4984.0	6893071.0	intrinsic	optic	LO>ME	tangential		LMt2				glutamate	0.5203523628855001			right		fw060049			isomorphic			
83180254403121712	720575940620083797	182736.0	71872.0	5894.0	182736.0	71872.0	5894.0	7695074.0	intrinsic	optic	LOP>LO			Tlp14				glutamate	0.6492622278092871	glutamate	Nern et al., 2024 (EASI-FISH)	right		fw060059			isomorphic			
77620779948601687	720575940625692391	101664.0	66656.0	5402.0	101664.0	66656.0	5402.0	2576879.0	intrinsic	optic	LO>ME	tangential		LMt2				glutamate	0.6823329463753589			left		fw060064			isomorphic			
76495773193621337	720575940625108407	85792.0	80480.0	3853.0	85792.0	80480.0	3853.0	1951311.0	intrinsic	optic	ME	tangential		Sm20				acetylcholine	0.9277076558613239			left		fw060072			isomorphic			
82688497425059574	720575940636115319	175040.0	83776.0	2925.0	175040.0	83776.0	2925.0	7478677.0	intrinsic	optic	ME	tangential		Sm20				acetylcholine	0.9054341594082072			right		fw060087			isomorphic			
77620848667916279	720575940627493150	102232.0	67288.0	5289.0	102232.0	67288.0	5289.0	2577170.0	intrinsic	optic	LO>ME	tangential		LMt2				glutamate	0.7205764762214221			left		fw060088			isomorphic			
82688153827503072	720575940628134855	175448.0	79352.0	2789.0	175448.0	79352.0	2789.0	7462626.0	intrinsic	optic	ME	tangential		Sm20				acetylcholine	0.8737121817391391			right		fw060112			isomorphic			
76495773193516712	720575940632518456	85896.0	80248.0	3770.0	85896.0	80248.0	3770.0	1951390.0	intrinsic	optic	ME	tangential		Sm20				acetylcholine	0.8426609625672185			left		fw060121			isomorphic			
77620917320380391	720575940621392660	101296.0	68920.0	4845.0	101296.0	68920.0	4845.0	2574370.0	intrinsic	optic	LO>ME	tangential		LMt2				glutamate	0.6322209615209305			left		fw060127			isomorphic			
81702785519006961	720575940623919507	161320.0	75576.0	4844.0	161320.0	75576.0	4844.0	6921798.0	intrinsic	optic	LO>ME	tangential		LMt2				glutamate	0.5396709944533543			right		fw060204			isomorphic			
76495498315431769	720575940622055521	85416.0	75904.0	3646.0	85416.0	75904.0	3646.0	1951000.0	intrinsic	optic	ME	tangential		Sm20				acetylcholine	0.8839526142540969			left		fw060225			isomorphic			
81702510574283391	720575940626683792	161280.0	71648.0	4517.0	161280.0	71648.0	4517.0	6892872.0	intrinsic	optic	LO>ME	tangential		LMt2				glutamate	0.6382196368654184			right		fw060234			isomorphic			
83040066603635581	720575940638113136	180976.0	79728.0	5520.0	180976.0	79728.0	5520.0	7709422.0	intrinsic	optic	LOP>LO			Tlp14				glutamate	0.6875127267757835	glutamate	Nern et al., 2024 (EASI-FISH)	right		fw060291			isomorphic			
76495567034922143	720575940639871651	85640.0	76648.0	3654.0	85640.0	76648.0	3654.0	1951134.0	intrinsic	optic	ME	tangential		Sm20				acetylcholine	0.808780449239103			left		fw060307			isomorphic			
77620848667776708	720575940628706472	101392.0	67216.0	5183.0	101392.0	67216.0	5183.0	2576744.0	intrinsic	optic	LO>ME	tangential		LMt2				glutamate	0.61867878543864			left		fw060325			isomorphic			
77620779948328363	720575940636245099	102240.0	66352.0	5200.0	102240.0	66352.0	5200.0	2577119.0	intrinsic	optic	LO>ME			LMa1				glutamate	0.6081814236197297			left		fw060373			isomorphic			
81772810598805418	720575940620893830	162024.0	70648.0	4406.0	162024.0	70648.0	4406.0	6893290.0	intrinsic	optic	LO>ME	tangential		LMt2				glutamate	0.618335791364875			right		fw060400			isomorphic			
82828685560010767	720575940609379396	177656.0	75664.0	5807.0	177656.0	75664.0	5807.0	7471614.0	intrinsic	optic	LOP>LO			Tlp14				glutamate	0.6543251904750076	glutamate	Nern et al., 2024 (EASI-FISH)	right		fw060435			isomorphic			
81632554147070339	720575940637731952	159976.0	77872.0	4602.0	159976.0	77872.0	4602.0	6921270.0	intrinsic	optic	LO>ME	tangential		LMt2				glutamate	0.5665776681022273			right		fw060439			isomorphic			
