group,n_silenced,total_delta_hz,n_neurons_affected
AN,2078,-407.5499999999996,418
descending,1086,-594.5999999999997,413
LO,1106,134.70000000000016,241
Kenyon_Cell,5095,106.34999999999997,236
motor,85,96.85000000000014,249
