group,mean_delta_hz,abs_delta_hz,percent_change
AN,-103.0,103.0,-9.4167
descending,-222.0,222.0,-20.2962
LO,-27.8,27.8,-2.5416
Kenyon_Cell,29.4,29.4,2.6879
motor,-40.4,40.4,-3.6935
