condition,seed,A_single_seed,F_single_seed,MN9_delta_hz,motor_total_delta_hz
mode,631201,22.41176470588235,0.22215743440233235,-77.0,102.0
mode,631202,22.49019607843137,0.23261001825187588,-79.0,-34.0
mode,631203,22.92156862745098,0.23111901937524712,-87.0,-4.0
mode,631204,22.058823529411764,0.2278250303766707,-80.0,16.0
mode,631205,23.137254901960784,0.23412698412698413,-86.0,20.0
motor_003,631201,10.490196078431373,0.16984126984126985,3.0,-401.0
motor_003,631202,13.705882352941176,0.20619469026548673,4.0,-502.0
motor_003,631203,11.549019607843137,0.183832709113608,1.0,-452.0
motor_003,631204,12.647058823529411,0.19236504622725917,2.0,-485.0
motor_003,631205,13.0,0.20262836185819072,-9.0,-562.0
motor_004,631201,11.470588235294118,0.17994463242079362,0.0,-449.0
motor_004,631202,14.72549019607843,0.2140210886292391,5.0,-547.0
motor_004,631203,12.450980392156863,0.1866549088771311,-8.0,-499.0
motor_004,631204,13.823529411764707,0.1981450252951096,-2.0,-502.0
motor_004,631205,12.92156862745098,0.19263373282665888,-11.0,-519.0
motor_005,631201,11.529411764705882,0.1828926905132193,9.0,-420.0
motor_005,631202,14.509803921568627,0.20693512304250558,1.0,-557.0
motor_005,631203,12.27450980392157,0.18708906156604901,-3.0,-447.0
motor_005,631204,13.862745098039216,0.20171184022824537,-3.0,-532.0
motor_005,631205,12.568627450980392,0.18908554572271385,-7.0,-483.0
motor_006,631201,10.490196078431373,0.16984126984126985,3.0,-401.0
motor_006,631202,13.705882352941176,0.20619469026548673,4.0,-502.0
motor_006,631203,11.549019607843137,0.183832709113608,1.0,-452.0
motor_006,631204,12.647058823529411,0.19236504622725917,2.0,-485.0
motor_006,631205,13.0,0.20262836185819072,-9.0,-562.0
motor_007,631201,11.470588235294118,0.17994463242079362,0.0,-449.0
motor_007,631202,14.72549019607843,0.2140210886292391,5.0,-547.0
motor_007,631203,12.450980392156863,0.1866549088771311,-8.0,-499.0
motor_007,631204,13.823529411764707,0.1981450252951096,-2.0,-502.0
motor_007,631205,12.92156862745098,0.19263373282665888,-11.0,-519.0
motor_008,631201,11.529411764705882,0.1828926905132193,9.0,-420.0
motor_008,631202,14.509803921568627,0.20693512304250558,1.0,-557.0
motor_008,631203,12.27450980392157,0.18708906156604901,-3.0,-447.0
motor_008,631204,13.862745098039216,0.20171184022824537,-3.0,-532.0
motor_008,631205,12.568627450980392,0.18908554572271385,-7.0,-483.0
motor_009,631201,10.490196078431373,0.16984126984126985,3.0,-401.0
motor_009,631202,13.705882352941176,0.20619469026548673,4.0,-502.0
motor_009,631203,11.549019607843137,0.183832709113608,1.0,-452.0
motor_009,631204,12.647058823529411,0.19236504622725917,2.0,-485.0
motor_009,631205,13.0,0.20262836185819072,-9.0,-562.0
motor_010,631201,11.470588235294118,0.17994463242079362,0.0,-449.0
motor_010,631202,14.72549019607843,0.2140210886292391,5.0,-547.0
motor_010,631203,12.450980392156863,0.1866549088771311,-8.0,-499.0
motor_010,631204,13.823529411764707,0.1981450252951096,-2.0,-502.0
motor_010,631205,12.92156862745098,0.19263373282665888,-11.0,-519.0
motor_011,631201,11.529411764705882,0.1828926905132193,9.0,-420.0
motor_011,631202,14.509803921568627,0.20693512304250558,1.0,-557.0
motor_011,631203,12.27450980392157,0.18708906156604901,-3.0,-447.0
motor_011,631204,13.862745098039216,0.20171184022824537,-3.0,-532.0
motor_011,631205,12.568627450980392,0.18908554572271385,-7.0,-483.0
