group,perm_index,delta_hz,n_silenced,n_trials_per_sim,seed
LO,1,-43.4,1106,5,42
LO,2,-151.6,1106,5,42
LO,3,-61.2,1106,5,42
LO,4,-3.4,1106,5,42
LO,5,191.0,1106,5,42
LO,6,-11.4,1106,5,42
LO,7,-73.2,1106,5,42
LO,8,35.2,1106,5,42
LO,9,11.6,1106,5,42
LO,10,-37.0,1106,5,42
LO,11,25.2,1106,5,42
LO,12,40.2,1106,5,42
LO,13,56.4,1106,5,42
LO,14,123.6,1106,5,42
LO,15,-17.8,1106,5,42
LO,16,-92.6,1106,5,42
LO,17,50.0,1106,5,42
LO,18,-29.4,1106,5,42
LO,19,37.4,1106,5,42
LO,20,11.2,1106,5,42
