group,perm_index,delta_hz,n_silenced,n_trials_per_sim,seed
motor,1,3.2,85,5,42
motor,2,39.6,85,5,42
motor,3,36.8,85,5,42
motor,4,-67.6,85,5,42
motor,5,2.0,85,5,42
motor,6,15.2,85,5,42
motor,7,26.6,85,5,42
motor,8,-59.6,85,5,42
motor,9,-27.6,85,5,42
motor,10,18.6,85,5,42
motor,11,24.6,85,5,42
motor,12,27.0,85,5,42
motor,13,37.0,85,5,42
motor,14,8.8,85,5,42
motor,15,28.8,85,5,42
motor,16,46.2,85,5,42
motor,17,-31.4,85,5,42
motor,18,-24.6,85,5,42
motor,19,-13.2,85,5,42
motor,20,-42.2,85,5,42
