group,condition,seed,root_id,rate_hz,spike_count
motor_003,baseline,631201,720575940625585596,0.0,0
motor_003,baseline,631201,720575940627712019,0.0,0
motor_003,baseline,631201,720575940631759663,0.0,0
motor_003,baseline,631201,720575940633753569,0.0,0
motor_003,motor_003,631201,720575940625585596,0.0,0
motor_003,motor_003,631201,720575940627712019,0.0,0
motor_003,motor_003,631201,720575940631759663,0.0,0
motor_003,motor_003,631201,720575940633753569,0.0,0
motor_003,motor_006,631201,720575940625585596,0.0,0
motor_003,motor_006,631201,720575940627712019,0.0,0
motor_003,motor_006,631201,720575940631759663,0.0,0
motor_003,motor_006,631201,720575940633753569,0.0,0
motor_003,motor_009,631201,720575940625585596,0.0,0
motor_003,motor_009,631201,720575940627712019,0.0,0
motor_003,motor_009,631201,720575940631759663,0.0,0
motor_003,motor_009,631201,720575940633753569,0.0,0
motor_003,baseline,631202,720575940625585596,0.0,0
motor_003,baseline,631202,720575940627712019,0.0,0
motor_003,baseline,631202,720575940631759663,0.0,0
motor_003,baseline,631202,720575940633753569,0.0,0
motor_003,motor_003,631202,720575940625585596,0.0,0
motor_003,motor_003,631202,720575940627712019,0.0,0
motor_003,motor_003,631202,720575940631759663,0.0,0
motor_003,motor_003,631202,720575940633753569,0.0,0
motor_003,motor_006,631202,720575940625585596,0.0,0
motor_003,motor_006,631202,720575940627712019,0.0,0
motor_003,motor_006,631202,720575940631759663,0.0,0
motor_003,motor_006,631202,720575940633753569,0.0,0
motor_003,motor_009,631202,720575940625585596,0.0,0
motor_003,motor_009,631202,720575940627712019,0.0,0
motor_003,motor_009,631202,720575940631759663,0.0,0
motor_003,motor_009,631202,720575940633753569,0.0,0
motor_003,baseline,631203,720575940625585596,0.0,0
motor_003,baseline,631203,720575940627712019,0.0,0
motor_003,baseline,631203,720575940631759663,0.0,0
motor_003,baseline,631203,720575940633753569,0.0,0
motor_003,motor_003,631203,720575940625585596,0.0,0
motor_003,motor_003,631203,720575940627712019,0.0,0
motor_003,motor_003,631203,720575940631759663,0.0,0
motor_003,motor_003,631203,720575940633753569,0.0,0
motor_003,motor_006,631203,720575940625585596,0.0,0
motor_003,motor_006,631203,720575940627712019,0.0,0
motor_003,motor_006,631203,720575940631759663,0.0,0
motor_003,motor_006,631203,720575940633753569,0.0,0
motor_003,motor_009,631203,720575940625585596,0.0,0
motor_003,motor_009,631203,720575940627712019,0.0,0
motor_003,motor_009,631203,720575940631759663,0.0,0
motor_003,motor_009,631203,720575940633753569,0.0,0
motor_003,baseline,631204,720575940625585596,0.0,0
motor_003,baseline,631204,720575940627712019,0.0,0
motor_003,baseline,631204,720575940631759663,0.0,0
motor_003,baseline,631204,720575940633753569,0.0,0
motor_003,motor_003,631204,720575940625585596,0.0,0
motor_003,motor_003,631204,720575940627712019,0.0,0
motor_003,motor_003,631204,720575940631759663,0.0,0
motor_003,motor_003,631204,720575940633753569,0.0,0
motor_003,motor_006,631204,720575940625585596,0.0,0
motor_003,motor_006,631204,720575940627712019,0.0,0
motor_003,motor_006,631204,720575940631759663,0.0,0
motor_003,motor_006,631204,720575940633753569,0.0,0
motor_003,motor_009,631204,720575940625585596,0.0,0
motor_003,motor_009,631204,720575940627712019,0.0,0
motor_003,motor_009,631204,720575940631759663,0.0,0
motor_003,motor_009,631204,720575940633753569,0.0,0
motor_003,baseline,631205,720575940625585596,0.0,0
motor_003,baseline,631205,720575940627712019,0.0,0
motor_003,baseline,631205,720575940631759663,0.0,0
motor_003,baseline,631205,720575940633753569,0.0,0
motor_003,motor_003,631205,720575940625585596,0.0,0
motor_003,motor_003,631205,720575940627712019,0.0,0
motor_003,motor_003,631205,720575940631759663,0.0,0
motor_003,motor_003,631205,720575940633753569,0.0,0
motor_003,motor_006,631205,720575940625585596,0.0,0
motor_003,motor_006,631205,720575940627712019,0.0,0
motor_003,motor_006,631205,720575940631759663,0.0,0
motor_003,motor_006,631205,720575940633753569,0.0,0
motor_003,motor_009,631205,720575940625585596,0.0,0
motor_003,motor_009,631205,720575940627712019,0.0,0
motor_003,motor_009,631205,720575940631759663,0.0,0
motor_003,motor_009,631205,720575940633753569,0.0,0
motor_004,baseline,631201,720575940625585596,0.0,0
motor_004,baseline,631201,720575940627712019,0.0,0
motor_004,baseline,631201,720575940631759663,0.0,0
motor_004,baseline,631201,720575940633753569,0.0,0
motor_004,motor_004,631201,720575940625585596,0.0,0
motor_004,motor_004,631201,720575940627712019,0.0,0
motor_004,motor_004,631201,720575940631759663,0.0,0
motor_004,motor_004,631201,720575940633753569,0.0,0
motor_004,motor_007,631201,720575940625585596,0.0,0
motor_004,motor_007,631201,720575940627712019,0.0,0
motor_004,motor_007,631201,720575940631759663,0.0,0
motor_004,motor_007,631201,720575940633753569,0.0,0
